,from_domain,from_vocab,from_standard,to_domain,to_vocab,to_standard,relationship,count
3281,Observation,SNOMED,S,Condition,SNOMED,S,Occurs after,95
3282,Observation,SNOMED,S,Condition,SNOMED,S,Occurs before,2
3283,Observation,SNOMED,S,Condition,SNOMED,S,Pathology of,21673
3284,Observation,SNOMED,S,Condition,SNOMED,S,Severity of,19
3285,Observation,SNOMED,S,Condition,SNOMED,S,Subsumes,2269
3286,Observation,SNOMED,S,Condition,SNOMED,S,Temporal context of,11
3287,Observation,SNOMED,S,Condition,SNOMED,S,Temp related to,18
3288,Observation,SNOMED,S,Condition,SNOMED,,Asso morph of,6455
3289,Observation,SNOMED,S,Condition,SNOMED,,Asso with finding,4
3290,Observation,SNOMED,S,Condition,SNOMED,,Causative agent of,1071
3291,Observation,SNOMED,S,Condition,SNOMED,,Concept alt_to from,81
3292,Observation,SNOMED,S,Condition,SNOMED,,Concept poss_eq from,927
3293,Observation,SNOMED,S,Condition,SNOMED,,Concept replaces,260
3294,Observation,SNOMED,S,Condition,SNOMED,,Concept same_as from,500
3295,Observation,SNOMED,S,Condition,SNOMED,,Concept was_a from,253
3296,Observation,SNOMED,S,Condition,SNOMED,,Due to of,335
3297,Observation,SNOMED,S,Condition,SNOMED,,Finding context of,23
3298,Observation,SNOMED,S,Condition,SNOMED,,Finding site of,19
3299,Observation,SNOMED,S,Condition,SNOMED,,Follows,12
3300,Observation,SNOMED,S,Condition,SNOMED,,Has asso finding,50
3301,Observation,SNOMED,S,Condition,SNOMED,,Has due to,7
3302,Observation,SNOMED,S,Condition,SNOMED,,Has focus,5
3303,Observation,SNOMED,S,Condition,SNOMED,,Interprets of,2064
3304,Observation,SNOMED,S,Condition,SNOMED,,Is a,274
3305,Observation,SNOMED,S,Condition,SNOMED,,Manifestation of,37
3306,Observation,SNOMED,S,Condition,SNOMED,,Mapped from,1642
3307,Observation,SNOMED,S,Condition,SNOMED,,Occurs before,1
3308,Observation,SNOMED,S,Condition,SNOMED,,Pathology of,1762
3309,Observation,SNOMED,S,Condition,SNOMED,,Severity of,6
3310,Observation,SNOMED,S,Condition,SNOMED,,Subsumes,193
3311,Observation,SNOMED,S,Condition,SNOMED,,Temporal context of,23
3312,Observation,SNOMED,S,Condition,SNOMED,,Temp related to,3
3313,Observation,SNOMED,S,Condition,SNOMED,,Value mapped from,50
3314,Observation,SNOMED,S,Condition/Meas,Read,,Mapped from,1
3315,Observation,SNOMED,S,Condition/Obs,Read,,Mapped from,8
3316,Observation,SNOMED,S,Device,HCPCS,S,Subsumes,12
3317,Observation,SNOMED,S,Device,HCPCS,,Mapped from,1
3318,Observation,SNOMED,S,Device,SNOMED,S,Active ing of,11
3319,Observation,SNOMED,S,Device,SNOMED,S,Coating material of,3
3320,Observation,SNOMED,S,Device,SNOMED,S,Comp material of,10
3321,Observation,SNOMED,S,Device,SNOMED,S,Disposition of,14
3322,Observation,SNOMED,S,Device,SNOMED,S,Finding asso with,24
3323,Observation,SNOMED,S,Device,SNOMED,S,Has causative agent,44
3324,Observation,SNOMED,S,Device,SNOMED,S,Has component,1
3325,Observation,SNOMED,S,Device,SNOMED,S,Has dir device,36
3326,Observation,SNOMED,S,Device,SNOMED,S,Has modification,7
3327,Observation,SNOMED,S,Device,SNOMED,S,Has proc device,7
3328,Observation,SNOMED,S,Device,SNOMED,S,Has process output,2
3329,Observation,SNOMED,S,Device,SNOMED,S,Is a,21
3330,Observation,SNOMED,S,Device,SNOMED,S,Modification of,1
3331,Observation,SNOMED,S,Device,SNOMED,S,Role played by,13
3332,Observation,SNOMED,S,Device,SNOMED,S,Subsumes,73
3333,Observation,SNOMED,S,Device,SNOMED,S,Using acc device,1
3334,Observation,SNOMED,S,Device,SNOMED,S,Using device,20
3335,Observation,SNOMED,S,Device,SNOMED,,Active ing of,9
3336,Observation,SNOMED,S,Device,SNOMED,,Concept poss_eq from,15
3337,Observation,SNOMED,S,Device,SNOMED,,Concept replaces,3
3338,Observation,SNOMED,S,Device,SNOMED,,Concept same_as from,2
3339,Observation,SNOMED,S,Device,SNOMED,,Concept was_a from,3
3340,Observation,SNOMED,S,Device,SNOMED,,Disposition of,27
3341,Observation,SNOMED,S,Device,SNOMED,,Has causative agent,32
3342,Observation,SNOMED,S,Device,SNOMED,,Is a,5
3343,Observation,SNOMED,S,Device,SNOMED,,Mapped from,11
3344,Observation,SNOMED,S,Device,SNOMED,,Modification of,5
3345,Observation,SNOMED,S,Device,SNOMED,,Prod character of,289
3346,Observation,SNOMED,S,Device,SNOMED,,Role played by,6
3347,Observation,SNOMED,S,Device,SNOMED,,State of matter of,2
3348,Observation,SNOMED,S,Device,SNOMED,,Subsumes,30
3349,Observation,SNOMED,S,Device,SNOMED,,Using acc device,1
3350,Observation,SNOMED,S,Device/Procedure,Read,,Mapped from,9
3351,Observation,SNOMED,S,Drug,ATC,C,Mapped from,2
3352,Observation,SNOMED,S,Drug,ATC,C,SNOMED - ATC eq,45
3353,Observation,SNOMED,S,Drug,HCPCS,,Mapped from,1
3354,Observation,SNOMED,S,Drug,ICD10PCS,,Access of,39
3355,Observation,SNOMED,S,Drug,ICD10PCS,,Component of,2
3356,Observation,SNOMED,S,Drug,ICD10PCS,,Method of,61
3357,Observation,SNOMED,S,Drug,ICD10PCS,,Property of,20
3358,Observation,SNOMED,S,Drug,Read,,Mapped from,35
3359,Observation,SNOMED,S,Drug,RxNorm,S,SNOMED - RxNorm eq,102
3360,Observation,SNOMED,S,Drug,RxNorm,,SNOMED - RxNorm eq,70
3361,Observation,SNOMED,S,Drug,SNOMED,,Active ing of,1477
3362,Observation,SNOMED,S,Drug,SNOMED,,Admin method of,440
3363,Observation,SNOMED,S,Drug,SNOMED,,Basis str subst of,48
3364,Observation,SNOMED,S,Drug,SNOMED,,Concept poss_eq from,29
3365,Observation,SNOMED,S,Drug,SNOMED,,Concept replaces,20
3366,Observation,SNOMED,S,Drug,SNOMED,,Concept same_as from,27
3367,Observation,SNOMED,S,Drug,SNOMED,,Concept was_a from,44
3368,Observation,SNOMED,S,Drug,SNOMED,,Disposition of,8642
3369,Observation,SNOMED,S,Drug,SNOMED,,Finding asso with,7
3370,Observation,SNOMED,S,Drug,SNOMED,,Has causative agent,1857
3371,Observation,SNOMED,S,Drug,SNOMED,,Has component,37
3372,Observation,SNOMED,S,Drug,SNOMED,,Has dir subst,10
3373,Observation,SNOMED,S,Drug,SNOMED,,Has modification,2
3374,Observation,SNOMED,S,Drug,SNOMED,,Intended site of,502
3375,Observation,SNOMED,S,Drug,SNOMED,,Is a,806
3376,Observation,SNOMED,S,Drug,SNOMED,,Mapped from,96
3377,Observation,SNOMED,S,Drug,SNOMED,,Modification of,90
3378,Observation,SNOMED,S,Drug,SNOMED,,Prec ingredient of,47
3379,Observation,SNOMED,S,Drug,SNOMED,,Process acts on,219
3380,Observation,SNOMED,S,Drug,SNOMED,,Relative to,1
3381,Observation,SNOMED,S,Drug,SNOMED,,Release charact of,449
3382,Observation,SNOMED,S,Drug,SNOMED,,Role played by,10243
3383,Observation,SNOMED,S,Drug,SNOMED,,Spec active ing of,39
3384,Observation,SNOMED,S,Drug,SNOMED,,State of matter of,76
3385,Observation,SNOMED,S,Drug,SNOMED,,Subsumes,4173
3386,Observation,SNOMED,S,Drug,SNOMED,,Targ population of,14
3387,Observation,SNOMED,S,Drug,SNOMED,,Towards,1
3388,Observation,SNOMED,S,Drug,SNOMED,,Transformation of,426
3389,Observation,SNOMED,S,Drug/Procedure,Read,,Mapped from,1
3390,Observation,SNOMED,S,Gender,SNOMED,,Concept poss_eq from,3
3391,Observation,SNOMED,S,Gender,SNOMED,,Subsumes,3
3392,Observation,SNOMED,S,Language,SNOMED,S,Subsumes,1
3393,Observation,SNOMED,S,Measurement,CO-CONNECT,,Mapped from,6
3394,Observation,SNOMED,S,Measurement,ICD10CM,,Value mapped from,6
3395,Observation,SNOMED,S,Measurement,ICD9CM,,Value mapped from,3
3396,Observation,SNOMED,S,Measurement,LOINC,S,Subsumes,1
3397,Observation,SNOMED,S,Measurement,LOINC,,Mapped from,1
3398,Observation,SNOMED,S,Measurement,OMOP Extension,S,Subsumes,5
3399,Observation,SNOMED,S,Measurement,OPCS4,S,Method of,6
3400,Observation,SNOMED,S,Measurement,OPCS4,,Mapped from,4
3401,Observation,SNOMED,S,Measurement,Read,,Mapped from,28
3402,Observation,SNOMED,S,Measurement,Read,,Value mapped from,6
3403,Observation,SNOMED,S,Measurement,SNOMED,S,Access of,3
3404,Observation,SNOMED,S,Measurement,SNOMED,S,Affected by process,1
3405,Observation,SNOMED,S,Measurement,SNOMED,S,Asso morph of,1
3406,Observation,SNOMED,S,Measurement,SNOMED,S,Causative agent of,1
3407,Observation,SNOMED,S,Measurement,SNOMED,S,Characterizes,1
3408,Observation,SNOMED,S,Measurement,SNOMED,S,Component of,6138
3409,Observation,SNOMED,S,Measurement,SNOMED,S,Direct site of,1
3410,Observation,SNOMED,S,Measurement,SNOMED,S,Dir subst of,8
3411,Observation,SNOMED,S,Measurement,SNOMED,S,Focus of,8
3412,Observation,SNOMED,S,Measurement,SNOMED,S,Has asso finding,11
3413,Observation,SNOMED,S,Measurement,SNOMED,S,Has asso proc,321
3414,Observation,SNOMED,S,Measurement,SNOMED,S,Has due to,1
3415,Observation,SNOMED,S,Measurement,SNOMED,S,Has focus,13
3416,Observation,SNOMED,S,Measurement,SNOMED,S,Has inherent,3279
3417,Observation,SNOMED,S,Measurement,SNOMED,S,Has interprets,3362
3418,Observation,SNOMED,S,Measurement,SNOMED,S,Has pathology,1
3419,Observation,SNOMED,S,Measurement,SNOMED,S,Has technique,21
3420,Observation,SNOMED,S,Measurement,SNOMED,S,Inherent location of,10
3421,Observation,SNOMED,S,Measurement,SNOMED,S,Interprets of,115
3422,Observation,SNOMED,S,Measurement,SNOMED,S,Is a,77
3423,Observation,SNOMED,S,Measurement,SNOMED,S,Is characterized by,362
3424,Observation,SNOMED,S,Measurement,SNOMED,S,Method of,11814
3425,Observation,SNOMED,S,Measurement,SNOMED,S,Precondition of,12
3426,Observation,SNOMED,S,Measurement,SNOMED,S,Process output of,22
3427,Observation,SNOMED,S,Measurement,SNOMED,S,Property of,4616
3428,Observation,SNOMED,S,Measurement,SNOMED,S,Property type of,32
3429,Observation,SNOMED,S,Measurement,SNOMED,S,Relative to of,135
3430,Observation,SNOMED,S,Measurement,SNOMED,S,Scale type of,868
3431,Observation,SNOMED,S,Measurement,SNOMED,S,Subst used by,51
3432,Observation,SNOMED,S,Measurement,SNOMED,S,Subsumes,768
3433,Observation,SNOMED,S,Measurement,SNOMED,S,Surgical appr of,1
3434,Observation,SNOMED,S,Measurement,SNOMED,S,Technique of,1707
3435,Observation,SNOMED,S,Measurement,SNOMED,,Access of,1
3436,Observation,SNOMED,S,Measurement,SNOMED,,Component of,105
3437,Observation,SNOMED,S,Measurement,SNOMED,,Concept alt_to from,1
3438,Observation,SNOMED,S,Measurement,SNOMED,,Concept poss_eq from,68
3439,Observation,SNOMED,S,Measurement,SNOMED,,Concept replaces,76
3440,Observation,SNOMED,S,Measurement,SNOMED,,Concept same_as from,58
3441,Observation,SNOMED,S,Measurement,SNOMED,,Concept was_a from,7
3442,Observation,SNOMED,S,Measurement,SNOMED,,Dir subst of,2
3443,Observation,SNOMED,S,Measurement,SNOMED,,Focus of,5
3444,Observation,SNOMED,S,Measurement,SNOMED,,Has asso finding,10
3445,Observation,SNOMED,S,Measurement,SNOMED,,Has asso proc,19
3446,Observation,SNOMED,S,Measurement,SNOMED,,Has focus,25
3447,Observation,SNOMED,S,Measurement,SNOMED,,Has inherent,30
3448,Observation,SNOMED,S,Measurement,SNOMED,,Has interprets,1691
3449,Observation,SNOMED,S,Measurement,SNOMED,,Interprets of,67
3450,Observation,SNOMED,S,Measurement,SNOMED,,Is a,98
3451,Observation,SNOMED,S,Measurement,SNOMED,,Is characterized by,51
3452,Observation,SNOMED,S,Measurement,SNOMED,,Mapped from,167
3453,Observation,SNOMED,S,Measurement,SNOMED,,Method of,1333
3454,Observation,SNOMED,S,Measurement,SNOMED,,Precondition of,6
3455,Observation,SNOMED,S,Measurement,SNOMED,,Process output of,3
3456,Observation,SNOMED,S,Measurement,SNOMED,,Property of,99
3457,Observation,SNOMED,S,Measurement,SNOMED,,Scale type of,60
3458,Observation,SNOMED,S,Measurement,SNOMED,,Subsumes,957
3459,Observation,SNOMED,S,Measurement,SNOMED,,Technique of,15
3460,Observation,SNOMED,S,Measurement,SNOMED,,Value mapped from,46
3461,Observation,SNOMED,S,Measurement,UK Biobank,,Mapped from,2
3462,Observation,SNOMED,S,Meas Value,Read,,Mapped from,11
3463,Observation,SNOMED,S,Meas Value,SNOMED,S,Has clinical course,115
3464,Observation,SNOMED,S,Meas Value,SNOMED,S,Has intent,485
3465,Observation,SNOMED,S,Meas Value,SNOMED,S,Has interpretation,6363
3466,Observation,SNOMED,S,Meas Value,SNOMED,S,Has laterality,2
3467,Observation,SNOMED,S,Meas Value,SNOMED,S,Has occurrence,804
3468,Observation,SNOMED,S,Meas Value,SNOMED,S,Has precondition,3
3469,Observation,SNOMED,S,Meas Value,SNOMED,S,Has priority,186
3470,Observation,SNOMED,S,Meas Value,SNOMED,S,Has proc duration,331
3471,Observation,SNOMED,S,Meas Value,SNOMED,S,Has time aspect,500
3472,Observation,SNOMED,S,Meas Value,SNOMED,S,Is a,4
3473,Observation,SNOMED,S,Meas Value,SNOMED,S,Subsumes,151
3474,Observation,SNOMED,S,Meas Value,SNOMED,,Concept poss_eq from,8
3475,Observation,SNOMED,S,Meas Value,SNOMED,,Concept replaces,22
3476,Observation,SNOMED,S,Meas Value,SNOMED,,Concept same_as from,19
3477,Observation,SNOMED,S,Meas Value,SNOMED,,Has interpretation,563
3478,Observation,SNOMED,S,Meas Value,SNOMED,,Has occurrence,2
3479,Observation,SNOMED,S,Meas Value,SNOMED,,Is a,4
3480,Observation,SNOMED,S,Meas Value,SNOMED,,Mapped from,34
3481,Observation,SNOMED,S,Meas Value,SNOMED,,Subsumes,4
3482,Observation,SNOMED,S,Metadata,SNOMED,,Concept poss_eq from,12
3483,Observation,SNOMED,S,Metadata,SNOMED,,Concept replaces,3
3484,Observation,SNOMED,S,Metadata,SNOMED,,Has Module,112082
3485,Observation,SNOMED,S,Metadata,SNOMED,,Has status,111810
3486,Observation,SNOMED,S,Metadata,SNOMED,,Is a,7
3487,Observation,SNOMED,S,Metadata,SNOMED,,Mapped from,8
3488,Observation,SNOMED,S,Observation,CO-CONNECT,,Mapped from,7
3489,Observation,SNOMED,S,Observation,CO-CONNECT,,Value mapped from,6
3490,Observation,SNOMED,S,Observation,CO-CONNECT TWINS,,Mapped from,364
3491,Observation,SNOMED,S,Observation,CO-CONNECT TWINS,,Value mapped from,174
3492,Observation,SNOMED,S,Observation,HCPCS,S,Subsumes,154
3493,Observation,SNOMED,S,Observation,HCPCS,,Mapped from,77
3494,Observation,SNOMED,S,Observation,HCPCS,,Subsumes,1
3495,Observation,SNOMED,S,Observation,HCPCS,,Value mapped from,31
3496,Observation,SNOMED,S,Observation,ICD10,,Mapped from,2812
3497,Observation,SNOMED,S,Observation,ICD10,,Value mapped from,35
3498,Observation,SNOMED,S,Observation,ICD10CM,,Mapped from,13919
3499,Observation,SNOMED,S,Observation,ICD10CM,,Value mapped from,238
3500,Observation,SNOMED,S,Observation,ICD9CM,,Mapped from,1799
3501,Observation,SNOMED,S,Observation,ICD9CM,,Value mapped from,36
3502,Observation,SNOMED,S,Observation,OMOP Extension,S,Is a,8
3503,Observation,SNOMED,S,Observation,OMOP Extension,S,Subsumes,24
3504,Observation,SNOMED,S,Observation,OPCS4,S,Subsumes,53
3505,Observation,SNOMED,S,Observation,OPCS4,,Mapped from,213
3506,Observation,SNOMED,S,Observation,PPI,S,Is a,53
3507,Observation,SNOMED,S,Observation,PPI,S,Subsumes,3
3508,Observation,SNOMED,S,Observation,PPI,,Has answer (PPI),7
3509,Observation,SNOMED,S,Observation,PPI,,Mapped from,672
3510,Observation,SNOMED,S,Observation,PPI,,Value mapped from,55
3511,Observation,SNOMED,S,Observation,Read,,Mapped from,26908
3512,Observation,SNOMED,S,Observation,Read,,Value mapped from,145
3513,Observation,SNOMED,S,Observation,SNOMED,S,Affected by process,175
3514,Observation,SNOMED,S,Observation,SNOMED,S,Asso finding of,374
3515,Observation,SNOMED,S,Observation,SNOMED,S,Asso morph of,687
3516,Observation,SNOMED,S,Observation,SNOMED,S,Asso proc of,238
3517,Observation,SNOMED,S,Observation,SNOMED,S,Asso with finding,105
3518,Observation,SNOMED,S,Observation,SNOMED,S,Causative agent of,223
3519,Observation,SNOMED,S,Observation,SNOMED,S,Characterizes,617
3520,Observation,SNOMED,S,Observation,SNOMED,S,Component of,41
3521,Observation,SNOMED,S,Observation,SNOMED,S,Dir morph of,15
3522,Observation,SNOMED,S,Observation,SNOMED,S,Dir subst of,2
3523,Observation,SNOMED,S,Observation,SNOMED,S,Disposition of,594
3524,Observation,SNOMED,S,Observation,SNOMED,S,Due to of,60
3525,Observation,SNOMED,S,Observation,SNOMED,S,Finding asso with,105
3526,Observation,SNOMED,S,Observation,SNOMED,S,Finding context of,1764
3527,Observation,SNOMED,S,Observation,SNOMED,S,Finding site of,32
3528,Observation,SNOMED,S,Observation,SNOMED,S,Focus of,619
3529,Observation,SNOMED,S,Observation,SNOMED,S,Followed by,13
3530,Observation,SNOMED,S,Observation,SNOMED,S,Follows,13
3531,Observation,SNOMED,S,Observation,SNOMED,S,Has asso finding,374
3532,Observation,SNOMED,S,Observation,SNOMED,S,Has asso morph,687
3533,Observation,SNOMED,S,Observation,SNOMED,S,Has asso proc,238
3534,Observation,SNOMED,S,Observation,SNOMED,S,Has causative agent,223
3535,Observation,SNOMED,S,Observation,SNOMED,S,Has component,41
3536,Observation,SNOMED,S,Observation,SNOMED,S,Has dir morph,15
3537,Observation,SNOMED,S,Observation,SNOMED,S,Has dir subst,2
3538,Observation,SNOMED,S,Observation,SNOMED,S,Has disposition,594
3539,Observation,SNOMED,S,Observation,SNOMED,S,Has due to,60
3540,Observation,SNOMED,S,Observation,SNOMED,S,Has finding context,1764
3541,Observation,SNOMED,S,Observation,SNOMED,S,Has finding site,32
3542,Observation,SNOMED,S,Observation,SNOMED,S,Has focus,619
3543,Observation,SNOMED,S,Observation,SNOMED,S,Has inherent,459
3544,Observation,SNOMED,S,Observation,SNOMED,S,Has inherent loc,1
3545,Observation,SNOMED,S,Observation,SNOMED,S,Has interpretation,6
3546,Observation,SNOMED,S,Observation,SNOMED,S,Has interprets,17816
3547,Observation,SNOMED,S,Observation,SNOMED,S,Has laterality,7
3548,Observation,SNOMED,S,Observation,SNOMED,S,Has manifestation,7
3549,Observation,SNOMED,S,Observation,SNOMED,S,Has method,4189
3550,Observation,SNOMED,S,Observation,SNOMED,S,Has modification,123
3551,Observation,SNOMED,S,Observation,SNOMED,S,Has pathology,511
3552,Observation,SNOMED,S,Observation,SNOMED,S,Has precondition,1
3553,Observation,SNOMED,S,Observation,SNOMED,S,Has proc context,2119
3554,Observation,SNOMED,S,Observation,SNOMED,S,Has process output,2
3555,Observation,SNOMED,S,Observation,SNOMED,S,Has proc morph,31
3556,Observation,SNOMED,S,Observation,SNOMED,S,Has property,897
3557,Observation,SNOMED,S,Observation,SNOMED,S,Has scale type,485
3558,Observation,SNOMED,S,Observation,SNOMED,S,Has severity,4
3559,Observation,SNOMED,S,Observation,SNOMED,S,Has technique,438
3560,Observation,SNOMED,S,Observation,SNOMED,S,Has temp finding,5
3561,Observation,SNOMED,S,Observation,SNOMED,S,Has temporal context,3914
3562,Observation,SNOMED,S,Observation,SNOMED,S,Inherent location of,1
3563,Observation,SNOMED,S,Observation,SNOMED,S,Inheres in,459
3564,Observation,SNOMED,S,Observation,SNOMED,S,Interpretation of,6
3565,Observation,SNOMED,S,Observation,SNOMED,S,Interprets of,17816
3566,Observation,SNOMED,S,Observation,SNOMED,S,Is a,122464
3567,Observation,SNOMED,S,Observation,SNOMED,S,Is characterized by,617
3568,Observation,SNOMED,S,Observation,SNOMED,S,Laterality of,7
3569,Observation,SNOMED,S,Observation,SNOMED,S,Manifestation of,7
3570,Observation,SNOMED,S,Observation,SNOMED,S,Mapped from,111810
3571,Observation,SNOMED,S,Observation,SNOMED,S,Maps to,111810
3572,Observation,SNOMED,S,Observation,SNOMED,S,Method of,4189
3573,Observation,SNOMED,S,Observation,SNOMED,S,Modification of,123
3574,Observation,SNOMED,S,Observation,SNOMED,S,Occurs after,3
3575,Observation,SNOMED,S,Observation,SNOMED,S,Occurs before,3
3576,Observation,SNOMED,S,Observation,SNOMED,S,Pathology of,511
3577,Observation,SNOMED,S,Observation,SNOMED,S,Precondition of,1
3578,Observation,SNOMED,S,Observation,SNOMED,S,Proc context of,2119
3579,Observation,SNOMED,S,Observation,SNOMED,S,Process acts on,175
3580,Observation,SNOMED,S,Observation,SNOMED,S,Process output of,2
3581,Observation,SNOMED,S,Observation,SNOMED,S,Proc morph of,31
3582,Observation,SNOMED,S,Observation,SNOMED,S,Property of,897
3583,Observation,SNOMED,S,Observation,SNOMED,S,Relative to,11
3584,Observation,SNOMED,S,Observation,SNOMED,S,Relative to of,11
3585,Observation,SNOMED,S,Observation,SNOMED,S,Scale type of,485
3586,Observation,SNOMED,S,Observation,SNOMED,S,Severity of,4
3587,Observation,SNOMED,S,Observation,SNOMED,S,Subst used by,1
3588,Observation,SNOMED,S,Observation,SNOMED,S,Subsumes,122464
3589,Observation,SNOMED,S,Observation,SNOMED,S,Technique of,438
3590,Observation,SNOMED,S,Observation,SNOMED,S,Temporal context of,3914
3591,Observation,SNOMED,S,Observation,SNOMED,S,Temp related to,5
3592,Observation,SNOMED,S,Observation,SNOMED,S,Using subst,1
3593,Observation,SNOMED,S,Observation,SNOMED,,Admin method of,1
3594,Observation,SNOMED,S,Observation,SNOMED,,Asso finding of,677
3595,Observation,SNOMED,S,Observation,SNOMED,,Asso morph of,111
3596,Observation,SNOMED,S,Observation,SNOMED,,Asso proc of,132
3597,Observation,SNOMED,S,Observation,SNOMED,,Asso with finding,69
3598,Observation,SNOMED,S,Observation,SNOMED,,Causative agent of,183
3599,Observation,SNOMED,S,Observation,SNOMED,,Characterizes,144
3600,Observation,SNOMED,S,Observation,SNOMED,,Component of,1
3601,Observation,SNOMED,S,Observation,SNOMED,,Concept alt_to from,60
3602,Observation,SNOMED,S,Observation,SNOMED,,Concept poss_eq from,13046
3603,Observation,SNOMED,S,Observation,SNOMED,,Concept replaces,9056
3604,Observation,SNOMED,S,Observation,SNOMED,,Concept same_as from,23385
3605,Observation,SNOMED,S,Observation,SNOMED,,Concept was_a from,8999
3606,Observation,SNOMED,S,Observation,SNOMED,,Disposition of,124
3607,Observation,SNOMED,S,Observation,SNOMED,,Due to of,7
3608,Observation,SNOMED,S,Observation,SNOMED,,Finding asso with,11
3609,Observation,SNOMED,S,Observation,SNOMED,,Finding context of,2613
3610,Observation,SNOMED,S,Observation,SNOMED,,Finding site of,2
3611,Observation,SNOMED,S,Observation,SNOMED,,Focus of,18
3612,Observation,SNOMED,S,Observation,SNOMED,,Has asso finding,35
3613,Observation,SNOMED,S,Observation,SNOMED,,Has asso morph,54
3614,Observation,SNOMED,S,Observation,SNOMED,,Has causative agent,146
3615,Observation,SNOMED,S,Observation,SNOMED,,Has component,1
3616,Observation,SNOMED,S,Observation,SNOMED,,Has dir morph,1
3617,Observation,SNOMED,S,Observation,SNOMED,,Has dir subst,1
3618,Observation,SNOMED,S,Observation,SNOMED,,Has disposition,2
3619,Observation,SNOMED,S,Observation,SNOMED,,Has due to,3
3620,Observation,SNOMED,S,Observation,SNOMED,,Has focus,13
3621,Observation,SNOMED,S,Observation,SNOMED,,Has inherent,5
3622,Observation,SNOMED,S,Observation,SNOMED,,Has interprets,73
3623,Observation,SNOMED,S,Observation,SNOMED,,Has pathology,2
3624,Observation,SNOMED,S,Observation,SNOMED,,Has proc context,24
3625,Observation,SNOMED,S,Observation,SNOMED,,Has proc morph,5
3626,Observation,SNOMED,S,Observation,SNOMED,,Has recipient cat,63
3627,Observation,SNOMED,S,Observation,SNOMED,,Has relat context,4375
3628,Observation,SNOMED,S,Observation,SNOMED,,Inheres in,224
3629,Observation,SNOMED,S,Observation,SNOMED,,Intended site of,3
3630,Observation,SNOMED,S,Observation,SNOMED,,Interprets of,1964
3631,Observation,SNOMED,S,Observation,SNOMED,,Is a,6466
3632,Observation,SNOMED,S,Observation,SNOMED,,Mapped from,45193
3633,Observation,SNOMED,S,Observation,SNOMED,,Method of,230
3634,Observation,SNOMED,S,Observation,SNOMED,,Modification of,77
3635,Observation,SNOMED,S,Observation,SNOMED,,Occurs before,21
3636,Observation,SNOMED,S,Observation,SNOMED,,Pathology of,1658
3637,Observation,SNOMED,S,Observation,SNOMED,,Proc context of,2107
3638,Observation,SNOMED,S,Observation,SNOMED,,Process acts on,71
3639,Observation,SNOMED,S,Observation,SNOMED,,Process output of,13
3640,Observation,SNOMED,S,Observation,SNOMED,,Proc morph of,2
3641,Observation,SNOMED,S,Observation,SNOMED,,Property of,29
3642,Observation,SNOMED,S,Observation,SNOMED,,Release charact of,1
3643,Observation,SNOMED,S,Observation,SNOMED,,Role played by,1
3644,Observation,SNOMED,S,Observation,SNOMED,,Scale type of,26
3645,Observation,SNOMED,S,Observation,SNOMED,,Severity of,2
3646,Observation,SNOMED,S,Observation,SNOMED,,State of matter of,24
3647,Observation,SNOMED,S,Observation,SNOMED,,Subsumes,11820
3648,Observation,SNOMED,S,Observation,SNOMED,,Technique of,26
3649,Observation,SNOMED,S,Observation,SNOMED,,Temporal context of,4703
3650,Observation,SNOMED,S,Observation,SNOMED,,Transformation of,1
3651,Observation,SNOMED,S,Observation,SNOMED,,Using finding inform,62
3652,Observation,SNOMED,S,Observation,SNOMED,,Value mapped from,1132
3653,Observation,SNOMED,S,Observation,UK Biobank,,Mapped from,1639
3654,Observation,SNOMED,S,Observation,UK Biobank,,Value mapped from,155
3655,Observation,SNOMED,S,Obs/Procedure,Read,,Mapped from,26
3656,Observation,SNOMED,S,Procedure,HCPCS,S,Subsumes,38
3657,Observation,SNOMED,S,Procedure,HCPCS,,Mapped from,21
3658,Observation,SNOMED,S,Procedure,ICD10,,Value mapped from,2
3659,Observation,SNOMED,S,Procedure,ICD10CM,,Value mapped from,1
3660,Observation,SNOMED,S,Procedure,ICD10PCS,S,Access of,44683
3661,Observation,SNOMED,S,Procedure,ICD10PCS,S,Component of,104
3662,Observation,SNOMED,S,Procedure,ICD10PCS,S,Dir morph of,2763
3663,Observation,SNOMED,S,Procedure,ICD10PCS,S,Dir proc site of,6128
3664,Observation,SNOMED,S,Procedure,ICD10PCS,S,Dir subst of,139
3665,Observation,SNOMED,S,Procedure,ICD10PCS,S,Focus of,614
3666,Observation,SNOMED,S,Procedure,ICD10PCS,S,Indir morph of,418
3667,Observation,SNOMED,S,Procedure,ICD10PCS,S,Method of,92620
3668,Observation,SNOMED,S,Procedure,ICD10PCS,S,Proc morph of,83
3669,Observation,SNOMED,S,Procedure,ICD10PCS,S,Property of,2762
3670,Observation,SNOMED,S,Procedure,ICD10PCS,S,Scale type of,40
3671,Observation,SNOMED,S,Procedure,ICD10PCS,S,Subst used by,2682
3672,Observation,SNOMED,S,Procedure,ICD10PCS,S,Subsumes,281
3673,Observation,SNOMED,S,Procedure,ICD10PCS,S,Surgical appr of,1528
3674,Observation,SNOMED,S,Procedure,ICD9Proc,S,Access of,63
3675,Observation,SNOMED,S,Procedure,ICD9Proc,S,Component of,41
3676,Observation,SNOMED,S,Procedure,ICD9Proc,S,Dir morph of,213
3677,Observation,SNOMED,S,Procedure,ICD9Proc,S,Dir subst of,38
